C1263960	Diabetic coma
C0877203	Respiratory tract infection viral
C0694575	Macular fibrosis
C0434437	Joint sprain
C0423773	Skin scaly
C0007642	Cellulitis
C0151744	Myocardial ischaemia
C0549463	X-linked lymphoproliferative syndrome
C0007780	Cerebral artery embolism
C0343863	Genital candidiasis
C0235416	Blood uric acid increased
C1096657	Prostate examination abnormal
C0034040	Postpartum disorder
C0559031	Functional gastrointestinal disorder
C0877055	Acute generalised exanthematous pustulosis
C2225524	Breast enlargement
C0027080	Myoglobinuria
C0919702	Ventricular hypokinesia
C0235660	Galactorrhoea
C0038506	Stuttering
C0039584	Testicular disorder
C1510410	Parosmia
C0151603	Generalised oedema
C0006849	Oral candidiasis
C0520886	Electrocardiogram ST segment elevation
C0233523	Antisocial behaviour
C0241635	Vaginal erythema
C0853813	Local reaction
C0919894	Nasal mucosal disorder
C0270327	Nocturnal enuresis
C0542075	Local throat irritation
C0001349	Acute phase reaction
C0019048	Haemoglobinuria
C2939419	Metastatic neoplasm
C0151934	Hypogeusia
C0029464	Osteosclerosis
C0039240	Supraventricular tachycardia
C0850149	Dry cough
C1868769	Anaphylactoid syndrome of pregnancy
C0018926	Haematemesis
C0041657	Loss of consciousness
C0694563	Excessive daytime sleepiness
C0151729	Immunoglobulins increased
C0011606	Dermatitis exfoliative
C0684249	Carcinoma of lung
C0006852	Vaginal moniliasis
C0856171	Coronary artery disease aggravated
C0162285	Eyelid oedema
C0549536	Monocyte count decreased
C0920103	Haematotoxicity
C1096458	Vascular occlusion
C0332575	Redness
C0232461	Increased appetite
C1258215	Ileus
C0853123	Blood luteinising hormone increased
C0558489	Renal pain
C0022876	Premature labour
C0240972	Scrotal erythema
C0020523	Type I hypersensitivity
C0155947	Dentofacial anomaly
C1145670	Respiratory failure
C3544094	Arterial thromboembolism
C0024236	Lymphoedema
C0022656	Renal cortical necrosis
C0009492	Compartment syndrome
C0017601	Glaucoma
C0231835	Tachypnoea
C0033771	Prurigo
C0235025	Peripheral motor neuropathy
C0001416	Adenitis
C0026266	Mitral valve incompetence
C1510497	Lenticular opacities
C0423006	Eye discharge
C0007868	Cervical dysplasia
C0152128	Drug withdrawal syndrome
C0747102	Ovarian failure
